,airline_sentiment,airline,name,text,date
6623,negative,Southwest,LedPinkCloudz,@SouthwestAir and currently as im bringing my 3 year old to the bathroom I'm being rushed by the flight attendant.,2015-02-17
6624,positive,Southwest,mrshossruns,@SouthwestAir no worries. We got thru eventually. I was just curious. Best of luck to you dealing with the weather!,2015-02-17
6625,negative,Southwest,dallendoug,"@SouthwestAir not terribly inspired to call ""customer service"" in the future now.",2015-02-17
6626,negative,Southwest,dallendoug,"@SouthwestAir also, they said they couldn't even book the flight. They were having to put me on hold &amp; have someone else do it???",2015-02-17
6627,negative,Southwest,dallendoug,"@SouthwestAir the person I talked to couldn't do anything not normally available online other than the ""no charge"" part.",2015-02-17
6628,negative,Southwest,caralageson,@SouthwestAir can someone help me set up a callback today?,2015-02-17
6629,negative,Southwest,dallendoug,@SouthwestAir how about when there are Cancelled Flightlations you just have a link to rebook like you did for initial storm issues?,2015-02-17
6630,negative,Southwest,dallendoug,@SouthwestAir there really should not be guidance to call via phone if you are that back logged. I could have done it online in 3 minutes.,2015-02-17
6631,negative,Southwest,jonw4570,@SouthwestAir no had to rebook my flight myself and am about to board in bham.,2015-02-17
6632,negative,Southwest,bdhatch1,@SouthwestAir please send me a number to call to talk to a person and not be put on hold,2015-02-17
6633,negative,Southwest,RobinDamato,@SouthwestAir flt 648 from Buf to MCO. Conf#FGKXV5. Please also look into reimburse for car 587701925COUNT that I had to Cancelled Flight,2015-02-17
6634,negative,Southwest,justinmcintosh,@SouthwestAir Almost 2 hours on hold now. I just need to Cancelled Flight a flight and get a refund. Other airlines are operating!,2015-02-17
6635,negative,Southwest,joycarmody,@SouthwestAir You need to be more accommodating to your loyal customers. Not happy now!,2015-02-17
6636,positive,Southwest,StarkTTT,@SouthwestAir yes. Thank you. Oct 25-oct 31,2015-02-17
6637,negative,Southwest,BernhardtJH,@SouthwestAir @BernhardtJH I did eventually get through but that flight Cancelled Flightled.  Decided to drive but gave up holding to process refund,2015-02-17
6638,neutral,Southwest,JosephGruber,@SouthwestAir Already rebooked for tomorrow. Fingers crossed!,2015-02-17
6639,neutral,Southwest,deantak,@SouthwestAir followed.,2015-02-17
6640,negative,Southwest,LedPinkCloudz,"@SouthwestAir worst customer service, Terrible attitudes. I don't care how big a storm.  Your employees need an attitude adjustment",2015-02-17
6641,neutral,Southwest,RBrandtPhoto,@SouthwestAir or you could send me a DM.,2015-02-17
6642,neutral,Southwest,RBrandtPhoto,@SouthwestAir I am following you now. I don't think I can DM until you follow me.,2015-02-17
6643,negative,Southwest,JaleenaPosty,@SouthwestAir Flight Cancelled Flightled out of BNA.... Do I have to reschedule now or can travel funds be put back into my account for future use?,2015-02-17
6644,negative,Southwest,LedPinkCloudz,@SouthwestAir are you kidding me?  I needed help yesterday. I'm now landed and waiting for my connection.  Never will I fly southwest again!,2015-02-17
6645,negative,Southwest,9ad16006a6014a6,@SouthwestAir can i have my bags back   ding!!,2015-02-17
6646,negative,Southwest,CaliNigga62B,@SouthwestAir yeah bruh its bool y'all niggaz just need to hire some more workers or something cause next time imma be forced ta disrespect.,2015-02-17
6647,positive,Southwest,GameDaySweetie,@SouthwestAir always when I fly SW. #loyalRRmember,2015-02-17
6648,positive,Southwest,GameDaySweetie,"@SouthwestAir thank you, someone finally answered and was able to change my flight that was Cancelled Flighted bc of ice. Thank you for response",2015-02-17
6649,negative,Southwest,beccalauren2011,@SouthwestAir Trying to add my dog on the flight but can't get through.,2015-02-17
6650,negative,Southwest,susanpaint,@SouthwestAir I need to request a refund on my flight that was Cancelled Flightled this morning due to the weather.,2015-02-17
6651,positive,Southwest,DustinSoper,@SouthwestAir Thanks a ton!,2015-02-17
6652,positive,Southwest,PaytonTaylor129,@SouthwestAir LUV Ya Too!!!!  I will sing a song for y'all when I finally get on that plane back to Nashville!!! #LOVESOUTHWESTAIR,2015-02-17
6653,neutral,Southwest,DustinSoper,"@SouthwestAir Hi! Thanks! Do you have an exact link to that specific page on your site you can share - or is it under ""Flight Status"":? Thx!",2015-02-17
6654,neutral,Southwest,XTREMELYSERIOUS,@SouthwestAir @NotPghTimothy no exceptions for national awards?,2015-02-17
6655,neutral,Southwest,taesaunt24,@SouthwestAir any idea on flights to Nashville tomorrow being clear or Cancelled Flightled,2015-02-17
6656,positive,Southwest,MzQdotFore,@SouthwestAir is having a sale! I'm delighted!,2015-02-17
6657,positive,Southwest,asepopo,@SouthwestAir about time! Thank you!,2015-02-17
6658,positive,Southwest,harrngtn,@SouthwestAir Finally! Integration w/ passbook is a great Valentine gift - better then chocoLate Flight. You do heart me.,2015-02-17
6659,neutral,Southwest,aaronkivett,@SouthwestAir @gruber Finally.,2015-02-17
6660,positive,Southwest,joepalko,@SouthwestAir you guys are awesome... #dontchangeathing #luv,2015-02-17
6661,positive,Southwest,Bkloomer,@SouthwestAir Karen with customer service was very helpful. Thank you for providing one bright spot in a frustrating situation.,2015-02-17
6662,negative,Southwest,clements221,@SouthwestAir Twitter says I can't DM someone unless they follow me.  Can @SouthwestAir follows my twitter? thanks you.,2015-02-17
6663,negative,Southwest,clements221,@SouthwestAir Thank you.  Twitter says I can't DM someone unless they follow me.  Can @SouthwestAir follows my twitter?,2015-02-17
6664,neutral,Southwest,DaxJeter,@SouthwestAir the 5:50 is sold out too?,2015-02-17
6665,neutral,Southwest,DaxJeter,@SouthwestAir myself and 2 others,2015-02-17
6666,negative,Southwest,clements221,"@SouthwestAir can you follow me? Flight Cancelled Flightled, can't rebook online, been on hold for 2 hours.  Would love to DM flight info. Thank you.",2015-02-17
6667,negative,Southwest,leahennessy,@SouthwestAir I also find it ridiculous that I've been tweeting to you since 3:50 AM EST and have still received no response. 9 hours?,2015-02-17
6668,negative,Southwest,etachoir,@southwestair Thanks. Yes I got through. Biggest frustration is that I'm no longer able to check in online for my flight after 4 Cancelled Flights.,2015-02-17
6669,negative,Southwest,leahennessy,"@SouthwestAir why are flights still getting out of Logan now? You couldn't manage to get one out at 6 AM, when it wasn't snowing!",2015-02-17
6670,negative,Southwest,caralageson,@SouthwestAir 45mins wait on the phone with no option for a callback? Finally had to hang up because my phone was dying. #customerservice,2015-02-17
6671,neutral,Southwest,AirTraffic101,@SouthwestAir landing early morning @BWI_Airport after snowfall. http://t.co/apRZsPxigE,2015-02-17
6672,positive,Southwest,StarkTTT,@SouthwestAir and thanks!,2015-02-17
6673,neutral,Southwest,StarkTTT,@SouthwestAir sure. Fhk2te. Am scheduled to leave this weekend but need to push to October,2015-02-17
6674,positive,Southwest,kforbriger,"@SouthwestAir its all good. flight eventually took off, and landed safely. oh, and I got the free cup o wine. thx",2015-02-17
6675,neutral,Southwest,JimmyCarrigan85,"@SouthwestAir I noticed the rates increased a few days ago, or the promotion ended. Any idea when another promotion will be coming?? Thanks!",2015-02-17
6676,negative,Southwest,jjenreich,@SouthwestAir no flights out of #nashville today? Are you kidding me?!?! Why are other airlines flying and you're not?! So frustrated!!,2015-02-17
6677,neutral,Southwest,DaxJeter,@SouthwestAir I am but it says yall are sold out. Me &amp; My coworkers would need to get out first available,2015-02-17
6678,negative,Southwest,StarkTTT,@SouthwestAir I'm trying to change a family vacation due to Measles outbreak and haven't been able to get anyone on the phone. Any help?,2015-02-17
6679,neutral,Southwest,KatieAmmon,@SouthwestAir F5R3ZZ,2015-02-17
6680,positive,Southwest,andicrawford,.@SouthwestAir you've got a mess here at DTW but your staff is doing great.,2015-02-17
6681,negative,Southwest,Masterpeacefull,@SouthwestAir @challemann flying to LGA in the dead of winter? #jvstatus EWR &amp; JFK is always the intelligent option.,2015-02-17
6682,positive,Southwest,chaseagiles,@SouthwestAir Great job with the Passbook integration! It’ll really help streamline the commute to San Fran! 😊☕📲✈,2015-02-17
6683,negative,Southwest,KatieAmmon,@SouthwestAir I need to reschedule a flight and I've been on hold for almost an hour. This is ridiculous. Is there a best number to call?,2015-02-17
6684,negative,Southwest,81FSUnole,. @SouthwestAir condescension must be a quality your co rewards. Your tone reeks of it,2015-02-17
6685,positive,Southwest,MrDavidLombardi,@SouthwestAir Great job!! Looking forward to my next trip being able to use this new feature!,2015-02-17
6686,neutral,Southwest,laurenproberts,@SouthwestAir - any update on flights in to BNA today?,2015-02-17
6687,neutral,Southwest,joepalko,@SouthwestAir damn weather messing up everything #serenitynow,2015-02-17
6688,neutral,Southwest,JasenVinlove,@SouthwestAir could you tell me if any upgrades are available on a flight out of STL tomorrow morning.,2015-02-17
6689,negative,Southwest,KayyRahh_xo,"@SouthwestAir disappointed with customer service right now, my flight was only one Cancelled Flightled at my airport &amp; now I'm losing 2 days from trip",2015-02-17
6690,negative,Southwest,Loley9,"@SouthwestAir been on hold for over an hour.....not cool, you guys.",2015-02-17
6691,negative,Southwest,iBrianWeaver,@SouthwestAir I've been on hold for an hour &amp; a half trying to change my flight to BNA. Not very happy with customer service right now!!!!!!,2015-02-17
6692,neutral,Southwest,challemann,"@SouthwestAir Got it, thanks. Any insight into what will happen tomorrow?",2015-02-17
6693,neutral,Southwest,theokatzman,@SouthwestAir any chance of adding LAX-&gt;JFK direct any time in the future?,2015-02-17
6694,negative,Southwest,mal0877,@SouthwestAir thank you. I was given this same reply 2 years ago. Can you direct me to an area I can learn more about the improvements?,2015-02-17
6695,negative,Southwest,blackrivervaper,@SouthwestAir just disconnected my call after 2.5 hours without even speaking to me. #octaviannightmare,2015-02-17
6696,negative,Southwest,elliemybellie,@SouthwestAir injured at check in yesterday. U told me to go to dr. on hold with SWA for over hour trying to talk with someone. suggestions?,2015-02-17
6697,negative,Southwest,TJGoertz,@SouthwestAir Trying to get through by phone to confirm that funds from a Cancelled Flightled reservation can still be used in the future. Can u help?,2015-02-17
6698,negative,Southwest,eguroff,"@SouthwestAir have you considered adding the ""we'll call you back when we have someone free"" feature to your support line?",2015-02-17
6699,negative,Southwest,laurenaddell,@SouthwestAir I've been on hold with customer service for over an hour. Can you help?!,2015-02-17
6700,negative,Southwest,matthewhyah,"@SouthwestAir I've been on hold for an hour now. 59:57 as I type this. Ridiculous! All I need is the link to the chart that has routes, time",2015-02-17
6701,neutral,Southwest,deantak,@SouthwestAir sent,2015-02-17
6702,negative,Southwest,onestitchshort,"@SouthwestAir Flight Cancelled Flightled, reFlight Booking Problems online has not worked, on my second round of hold (3 hrs now). Any other options?",2015-02-17
6703,negative,Southwest,SkySmiles737,@SouthwestAir kudos to the #RSW CS crew for re-routing PAX to alleviate Over sale due to down graded EQP 800 now 500,2015-02-17
6704,neutral,Southwest,jcfly123,@SouthwestAir trying to fly out of Nashville tomorrow. How is it looking?,2015-02-17
6705,neutral,Southwest,city2countryTN,@SouthwestAir do you think the flights out of Nashville will be Cancelled Flighted tomorrow?,2015-02-17
6706,negative,Southwest,RichieGlod,@SouthwestAir do you not try to get customers to their destinations? No help to get on another airline if you had no flights for 3 days?,2015-02-17
6707,negative,Southwest,mal0877,"@SouthwestAir I'm an A-list Preferred customer and very loyal SWA. However, your inflight wifi is no better today than it was 4 years ago.",2015-02-17
6708,positive,Southwest,tonyapoe,@SouthwestAir  Thank you.,2015-02-17
6709,negative,Southwest,jjenreich,"@SouthwestAir too bad I'm getting this memo: ""Your reservation contains modifications that prevent you from changing it online."" #FUSTURATED",2015-02-17
6710,negative,Southwest,GameDaySweetie,"@SouthwestAir almost 2 hours on hold, 2 hours of my life I can't get back.... Thanks http://t.co/IyUZM2PUVS",2015-02-17
6711,negative,Southwest,deantak,@SouthwestAir discount for three delays?,2015-02-17
6712,negative,Southwest,faithfabulous,@SouthwestAir tried online and told I must call b/c of modifications to my reservation. Been on hold for almost 2 hours.,2015-02-17
6713,positive,Southwest,spstpierre,@SouthwestAir + @twitter  = outstanding customer service!  Thank you!,2015-02-17
6714,positive,Southwest,christooma,@SouthwestAir finally!,2015-02-17
6715,neutral,Southwest,scottglass70,@SouthwestAir trying to get through to cust relations. Is there another # to use?,2015-02-17
6716,neutral,Southwest,dontbhave,@SouthwestAir Where should I fly by May 3rd? Plz advise.,2015-02-17
6717,negative,Southwest,misskennedys,@SouthwestAir has the WORST customer service of any airline I've ever flown.,2015-02-17
6718,negative,Southwest,ClaudddiaVS,@SouthwestAir I need updates on my flights 464 &amp; 3574. I have been on hold for over 2 hours.,2015-02-17
6719,negative,Southwest,challemann,@SouthwestAir Hi-My flight (BNA to LGA) was Cancelled Flighted this morning--#1814. Looks like other flights out of BNA are taking off. Any chance?,2015-02-17
6720,neutral,Southwest,matthewhyah,@SouthwestAir Can you link the article where it says the routes and what times the routes are likely to be? Like TUL-DAL 1:00PM - 7 None,2015-02-17
6721,neutral,Southwest,momof43s,“@SouthwestAir:Southwest mobile boarding passes now available in iOS Passbook! http://t.co/xmRvR4lGEg http://t.co/wJoc9f14SU”@tori_leggieri,2015-02-17
6722,negative,Southwest,kristaallison28,@SouthwestAir Cancelled Flightled my flight out of BNA today. Been on hold for an hour. 😠 #frustrated!,2015-02-17
6723,positive,Southwest,RachFee,"@SouthwestAir Beautiful, thanks a ton!",2015-02-17
6724,negative,Southwest,portugrad,@SouthwestAir tried to rebook online but it says that I have to pay $200 for difference in price. Please help,2015-02-17
6725,negative,Southwest,DaxJeter,@SouthwestAir I'm showing flight 4720 delayed again. Would my boarding pass still be good or was my seat given away?,2015-02-17
6726,negative,Southwest,mrs_laurelanne,@SouthwestAir can't update my flight online bc it's been Cancelled Flighted twice already. Going on hour 2 on hold.,2015-02-17
6727,negative,Southwest,MyMissus,@SouthwestAir Guys for real. I've been on hold for 4+ hours including one hangup. Please have someone reach out so I can get my $ back.,2015-02-17
6728,neutral,Southwest,RachFee,@southwestair - kind of early but any idea when dates through the first week of sept will come available?,2015-02-17
6729,negative,Southwest,PorterHaney,@SouthwestAir the last 4 times I've arrived @LASairport our gate has been blocked by a slow to depart plane leading to 30-60 min delays,2015-02-17
6730,negative,Southwest,sahandmirza,@SouthwestAir been on hold for &gt;30 minutes about my Cancelled Flightled flight. Still not talked to anyone and flight is soon. What gives?,2015-02-17
6731,negative,Southwest,kukalong,@SouthwestAir Hoping you answer the phone today?,2015-02-17
6732,negative,Southwest,CBSsoxfan,"@SouthwestAir husband on hold 2.5 hrs, got disconnected!New wait 30 min. Can't confirm res due to the fact he booked on line! Nuts!",2015-02-17
6733,positive,Southwest,DaxJeter,@SouthwestAir thanks do yall expect to be operational tomorrow out of Nashville?,2015-02-17
6734,negative,Southwest,Raven_TheGreat,@SouthwestAir why have you guys jacked up the prices AFTER you said prices were going to be lowered? SMH,2015-02-17
6735,negative,Southwest,lucasdavidson,@SouthwestAir on hold for 2 hours and then you hung up 3 Cancelled Flightled flights. Running out of daycare for our kids who are trapped at home.,2015-02-17
6736,negative,Southwest,kabell87,@SouthwestAir  this is really unhelpful. Why can't I rebook online? http://t.co/N5O43sVl8i,2015-02-17
6737,negative,Southwest,MMKuderka,@SouthwestAir allows other passengers 2 harass u after their gate agents mistakeFURIOUS they are doing NOTHING about it &amp; my 6yo was scared,2015-02-17
6738,negative,Southwest,kabell87,@SouthwestAir flight was Cancelled Flightled and it won't let me rebook online. Wait time on phone is too long. Please help,2015-02-17
6739,neutral,Southwest,DubCook,"@SouthwestAir Guys, we've got to do something about the inability to check in online for international  flight that has... (1/2)",2015-02-17
6740,neutral,Southwest,Tinygami,@SouthwestAir Is it a temporary site glitch or are you no longer offering flights from GRR to GEG after Feb? Can't find any online :(,2015-02-17
6741,negative,Southwest,WorkingWify,@SouthwestAir won't answer their phones #HorribleService #NeverAgain #frustrated #AnswerThePhone,2015-02-17
6742,negative,Southwest,followkashyap,@SouthwestAir We have been stuck in SJU for several hours and no one is answering here. Really tough to LUV SW. No response is bad.,2015-02-17
6743,positive,Southwest,rjp1208,@SouthwestAir nice work on the update!,2015-02-17
6744,negative,Southwest,mrshossruns,@SouthwestAir you guys there? Are we on hour 2 of our phone hold at 3am bc of volume or short staffing?,2015-02-17
6745,negative,Southwest,VahidESQ,"@SouthwestAir its cool that my bags take a bit longer, dont give me baggage blue balls-turn the carousel on, tell me it's coming, then not.",2015-02-17
6746,positive,Delta,jaxbra,"@JetBlue Yesterday on my way from EWR to FLL just after take-off. :)
#wheelsup #JetBlueSoFly http://t.co/9xkiy0Kq2j",2015-02-24
6747,neutral,Delta,Oneladyyouadore,@JetBlue I hope so because I fly very often and would hate to change airlines.,2015-02-24
6748,neutral,Delta,Oneladyyouadore,"@JetBlue flight 1041 to Savannah, GA",2015-02-24
6749,negative,Delta,Oneladyyouadore,"@JetBlue They weren't on any flight, they just came Late Flight. Your JetBlue employee just informed us!",2015-02-24
6750,negative,Delta,Oneladyyouadore,@JetBlue everyone is here but our pilots are no where to be found and my last flight the plane was dirty that I had to clean my area &amp; seat!,2015-02-24
6751,neutral,Delta,culinarymindz,"@JetBlue update on Flight 462 would be appreciated when you have time, thanks",2015-02-24
6752,neutral,Delta,kbosspotter,@JetBlue check DM please :),2015-02-24
6753,negative,Delta,heyheyman,"@JetBlue Hey guys, why did my last flight earn me 0 pts? http://t.co/1syWlmTZek",2015-02-24
6754,negative,Delta,erinkphares,@JetBlue 2 aisles of empty #evermoreroom seats and we can't move bc we didn't pay?! #nonsense #Waste #JetBlue #jetbluebos #cheap,2015-02-24
6755,negative,Delta,chuck_martin,@JetBlue ’s Marty St. George really has zero clue. How does he still have a job? #nobaggagefees http://t.co/tjDzaMHPEw,2015-02-24
6756,negative,Delta,Marty_H,@JetBlue they booked me for tomorrow. It's $250 higher. My 1st reservation is PGFRYZ. Get me on standby list 4 tonight would help.,2015-02-24
6757,neutral,Delta,johnfmartin67,"@JetBlue Submitted, hoping for quick decision, tied to another donation we just received:
Proposal- 27th Annual Gala
Org- Boundless Readers",2015-02-24
6758,negative,Delta,Marty_H,@JetBlue but by Cancelled Flighting my flight and pushing me to the next day I'd lose $150 hotel which was why I was trying to get a same-day flight.,2015-02-24
6759,positive,Delta,Sujecuevas19,@JetBlue thank you for the information.,2015-02-24
6760,neutral,Delta,idk_but_youtube,@JetBlue did you know that suicide is the second leading cause of death among teens 10-24,2015-02-24
6761,neutral,Delta,Sujecuevas19,@JetBlue Ok and in Dominican Republic what numbers?,2015-02-24
6762,negative,Delta,tahlia_simpson,@JetBlue ive tried on my phone and laptop :(,2015-02-24
6763,negative,Delta,Marty_H,@JetBlue Cancelled Flighted my flight. Went with another airline 2 leave 2day. They Cancelled Flighted also. Called JetBlue &amp; got same flight but now $250 more👺,2015-02-24
6764,neutral,Delta,muneca641,@JetBlue sale please soon?? I need a tan,2015-02-24
6765,neutral,Delta,theREAL_Tiffany,@JetBlue Yeah I have! I'm on it!! Looking for specific dates - I will just keep checking daily for a fare drop,2015-02-24
6766,neutral,Delta,Sujecuevas19,"@JetBlue Hello Good afternoon how are you, I need know how much flying for summer from june 13th.",2015-02-24
6767,negative,Delta,tahlia_simpson,@JetBlue just wondering if the website is having issues today. Trying to book a flight with my visa I always use and its rejecting it.,2015-02-24
6768,negative,Delta,miss_caitb,"@JetBlue upset with the lack of communication we've received for our ""on time"" flight 1170 out of MCO",2015-02-24
6769,neutral,Delta,theREAL_Tiffany,@JetBlue Not for the dates or destination I'm headed 😔,2015-02-24
6770,negative,Delta,_carolion,"@JetBlue I've spent three hours talking to all different people, most of which couldn't help. I probably won't be using JetBlue again.",2015-02-24
6771,positive,Delta,MmmRubin,@JetBlue great.,2015-02-24
6772,positive,Delta,Fendog75,@JetBlue thanks great recap. I wouldn't have been able to sleep!  I was nervous the bad guy was getting away. 😉,2015-02-24
6773,neutral,Delta,DaniP0915,"@JetBlue flying w/ infant for the 1st time, can I bring a canister of powder formula for a carry on and/or use my plastic formula divider?",2015-02-24
6774,positive,Delta,MmmRubin,@JetBlue flight 117. proud to fly Jet Blue!,2015-02-24
6775,positive,Delta,lizgottbrecht,"@JetBlue awesome, thanks! on hold now.",2015-02-24
6776,neutral,Delta,_carolion,"@JetBlue I'm not sure if you can do anything to help me with that, but if you can that'd be great.",2015-02-24
6777,negative,Delta,_carolion,@JetBlue I had to call back five times to get someone on the phone who knew what they were doing. By that time my getaway went up by $200.,2015-02-24
6778,negative,Delta,cmcook,@JetBlue Are there really no flights from the Bay Area to Chicago anymore? Lame. So lame.,2015-02-24
6779,negative,Delta,lizgottbrecht,"@JetBlue can't book a flight because of outdated, forced opt-in ""Verified by Visa"" nonsense. Help a girl out? I just want to get to @sxsw",2015-02-24
6780,neutral,Delta,Arevans87,@JetBlue Stop trying to make #fleek happen! #PointsMe,2015-02-24
6781,negative,Delta,YvonneTrimble,@JetBlue luggage fees? won't b flying JB again! at least #AA gives platinum pass 2 bags! tired of overchging bg herded like cattle2slaughter,2015-02-24
6782,positive,Delta,AndrewGresenz,"@JetBlue what are the chances of actually flying out of Charleston today?? Cold, rainy weather in the south of all places...",2015-02-24
6783,positive,Delta,MattHaze,@JetBlue I did see that! Working on picking up a trip or two as we type.,2015-02-24
6784,negative,Delta,ch00bee,@JetBlue it's poop and barely works,2015-02-24
6785,positive,Delta,leezbtv,@JetBlue Thanks for the quick reply! Just wanted to make sure it wasn't just my account :),2015-02-24
6786,negative,Delta,ch00bee,@JetBlue your wifi is a lie and i hate you,2015-02-24
6787,negative,Delta,BethRunsDisney,@JetBlue Is there an issue with your website and logging on? (App too?) I know I am entering info correctly but cannot sign in! :(,2015-02-24
6788,negative,Delta,leezbtv,"@jetblue having trouble signing in to TrueBlue today, despite right credentials. getting ""We are not able to sign you in"" msg.",2015-02-24
6789,positive,Delta,Sanr1ck,@JetBlue wouldn't mind paying for the snacks but no $ for tix :-) Great job guys!,2015-02-24
6790,neutral,Delta,markmacg1,@JetBlue flight 462 to Boston delayed due to weather in Tampa?,2015-02-24
6791,neutral,Delta,terrybrokebad,"More like BaeJet Airways, amirite?

“@JetBlue: @terrybrokebad Right back at ya!”",2015-02-24
6792,neutral,Delta,b_econ,@JetBlue are @AskAmex Amex Plat holders provided access or a credit in the Airspace Lounge in JKF?,2015-02-24
6793,neutral,Delta,peterfransson,"@JetBlue many thanks, as always your employees are professional and courteous. Whenever I have the option, you are my go-to airlines.",2015-02-24
6794,neutral,Delta,JasonBXNY0619,@JetBlue Come on and provide service from Destin- Fort Walton Beach Airport,2015-02-24
6795,negative,Delta,heyheyman,@JetBlue I appreciate the credit for my troubles but the lack of personal response troubles me.,2015-02-24
6796,neutral,Delta,terrybrokebad,"@CatfoodBeerGlue you'll enjoy this. 

“@JetBlue: Our fleet's on fleek. http://t.co/2thC9RKURT”",2015-02-24
6797,neutral,Delta,tumblehawk,@JetBlue yer deals never seem to include NYC--&gt;PDX or NYC--&gt;PGH...wish they did!,2015-02-24
6798,neutral,Delta,MyCustoAdvocate,@JetBlue Airline trouble this winter &amp; not getting good customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!,2015-02-24
6799,neutral,Delta,Kristenrx5150,@JetBlue thank you! Headed from LBC to OAK !,2015-02-24
6800,positive,Delta,Kristenrx5150,@JetBlue here you go... Your napkins pretty much say it all! http://t.co/OxY1Jnpjm3,2015-02-24
6801,neutral,Delta,butimvikki,“@JetBlue: Our fleet's on fleek. http://t.co/b5ttno68xu” I just 🙈,2015-02-24
6802,positive,Delta,Ruth_Slobodin,"“@JetBlue: @Ruth_Slobodin Why not? We'd sure love to see you, Ruth! #JustDoIt #YouKnowYouWantTo ;)” you know me too well 💘",2015-02-24
6803,neutral,Delta,NENAFL,"@JetBlue ""Do what you love and you'll never work a day in your life."" 😊",2015-02-24
6804,neutral,Delta,ArdensMommy,"@JetBlue It drops 75 when i take off the other two people, and vice versa. back and forth.",2015-02-24
6805,positive,Delta,PaulParz,"@JetBlue you don't need to cut services, charge more and give a better flying experience. That's why I use jet blue in the first place",2015-02-24
6806,positive,Delta,gabs_tweets,@JetBlue Longing to look into the blue eyes. #firstlove,2015-02-24
6807,positive,Delta,jdlessard13,@JetBlue you all are the best #flyfi # ondemand #leatherseats #hipunis #legroom,2015-02-24
6808,neutral,Delta,blckblakelively,Sigh... “@JetBlue: Our fleet's on fleek. http://t.co/W5NL0AY9Bl”,2015-02-24
6809,neutral,Delta,E_Nice718,@JetBlue  please start flying to Guyana soon,2015-02-24
6810,neutral,Delta,BlackeyeBandit,@JetBlue just leave certain things to the kids.,2015-02-24
6811,positive,Delta,nokidhungry,"@eatgregeat WOW~Thx for thinking of us, Greg! Heard #SOBEWFF was amazing! We've heard the same about @JetBlue (ps thx for the info) #TeamNKH",2015-02-24
6812,positive,Delta,lalunkee,"@JetBlue Annnndddd, I just booked my flight. That was easy.",2015-02-24
6813,negative,Delta,JME23,@JetBlue Thank you for credits. However; I submitted complaints about the property on vacation package. Hope you listen!,2015-02-24
6814,neutral,Delta,_blktray,“@JetBlue: Our fleet's on fleek. http://t.co/clu5pdPrHP” :(,2015-02-24
6815,positive,Delta,lalunkee,@JetBlue Thank you very much!,2015-02-24
6816,negative,Delta,lalunkee,@JetBlue Need your help. I'm moving to DC &amp; I want to book a one way fare on your website. It won't seem to let me. Am I missing something?,2015-02-24
6817,positive,Delta,eatgregeat,@JetBlue it will be glowing. Your crew and your aircraft sparkled. You guys know about @nokidhungry right? Might be a good partnership:),2015-02-24
6818,neutral,Delta,scojjac,"@JetBlue @JetBlueCheeps My friend bought a ticket last night for one of these routes from you, and it cost way more. Can you help?”",2015-02-24
6819,neutral,Delta,eatgregeat,@JetBlue I was returning from @FoodNetwork #SOBEWFF so I had limited carry on space in my tummy. Next flight I'll try that snack!,2015-02-24
6820,positive,Delta,NBucketTV,@JetBlue glad you like it. Feel free to steal it.,2015-02-24
6821,positive,Delta,eatgregeat,@JetBlue your blue helped bring out the color of my eyes. And I promise I didn't eat all the free snacks.,2015-02-24
6822,positive,Delta,nolimitlove,@JetBlue thanks to you customers like me stay loyal. From check in to landing.,2015-02-24
6823,positive,Delta,NBucketTV,@JetBlue A320 pulling into the gate as the sunrises here at @BostonLogan this morning #jetbluesofly #jetblue #airbus http://t.co/JGdu5us8Dz,2015-02-24
6824,positive,Delta,texdoh,@JetBlue Thx for the quick response .... yep I tried- but it can't find the flight when I Input the Confirmation #,2015-02-24
6825,positive,Delta,JohnJJSmith,@JetBlue Wish Everyone felt like you,2015-02-24
6826,positive,Delta,thedaniburden,@JetBlue sounds great! Thank you!! :),2015-02-24
6827,negative,Delta,tonetone28,"@JetBlue 's Once upon a sale that does not include BTV, as usual!  #jetbluehatesbtv",2015-02-24
6828,negative,Delta,texdoh,"@JetBlue can't link my flight from last week to my TruBlue account and 1800 num isn't answering..don't make me fly @Delta again, dont do it!",2015-02-24
6829,positive,Delta,JohnJJSmith,@JetBlue Was nice to see your Veterans Advantage Program at the gate on Sunday @ MCO.Keep up the good work at  JetBlue,2015-02-24
6830,positive,Delta,AStateOfSnark,@JetBlue incredible PR team. 👏👏👏👏,2015-02-24
6831,positive,Delta,MikeSmithMedia,@JetBlue Thanks. I'm finding lower fares already on other carriers with direct flights. July 8 - 13.,2015-02-24
6832,negative,Delta,MaryCallaRowan,"@JetBlue if you can get us on a flight to Vieques all will be good. Right now, not looking promising.",2015-02-24
6833,negative,Delta,elias_rubin,@JetBlue I just DM'd you!,2015-02-24
6834,neutral,Delta,sflcn,@JetBlue Offering Special Fares to @GoPureGrenada @discovergrenada http://t.co/MBcEhCSZX3 @CaribbeJan @islandexpert http://t.co/2Zm4jkAlZl,2015-02-24
6835,neutral,Delta,elias_rubin,@JetBlue I believe that the website said I could receive credit for upcoming flights since I Cancelled Flighted my last one. Is this true?,2015-02-24
6836,neutral,Delta,elias_rubin,@JetBlue A month ago I had a flight booked but then had to Cancelled Flight it... I'm now Flight Booking Problems a separate flight for a different occasion.,2015-02-24
6837,neutral,Delta,elias_rubin,@JetBlue hi friend! Question for you when you have a moment.,2015-02-24
